player,position,proj_ppr,proj_std,rec,sources_used
Brashard Smith,KC,RB,59.2,36.9,22.2,3
Kaelon Black,SF,RB,57.8,48.0,9.8,3
Devin Singletary,NYG,RB,56.2,46.2,10.0,3
Kaytron Allen,WAS,RB,55.5,46.3,9.2,3
Jerome Ford,WAS,RB,54.0,34.2,19.8,3
Ray Davis,BUF,RB,52.1,43.9,8.2,3
Emanuel Wilson,SEA,RB,50.9,41.6,9.2,3
Emari Demercado,KC,RB,50.7,36.0,14.8,3
Jaydon Blue,DAL,RB,50.6,40.6,10.0,3
Sean Tucker,TB,RB,47.9,41.4,6.5,3
Jaylen Wright,MIA,RB,45.5,36.8,8.8,3
Will Shipley,PHI,RB,42.5,30.0,12.5,3
Ollie Gordon II,MIA,RB,41.1,32.1,9.0,3
Demond Claiborne,MIN,RB,40.0,32.5,7.5,3
AJ Dillon,CAR,RB,39.2,29.8,9.3,2
Trevor Etienne,CAR,RB,36.5,30.1,6.5,3
Adam Randall,BAL,RB,33.4,26.4,7.0,3
Kaleb Johnson,PIT,RB,26.7,22.7,4.0,3
Tahj Brooks,CIN,RB,25.0,19.7,5.2,3
Audric Estimé,NO,RB,2.3,2.3,0.0,1
Ja'Marr Chase,CIN,WR,339.0,217.0,122.0,3
Puka Nacua,LAR,WR,326.6,212.7,114.0,3
Jaxon Smith-Njigba,SEA,WR,320.8,209.3,111.5,3
Amon-Ra St. Brown,DET,WR,312.2,195.2,117.0,3
CeeDee Lamb,DAL,WR,281.8,178.8,103.0,3
Justin Jefferson,MIN,WR,261.7,167.2,94.5,3
A.J. Brown,NE,WR,253.6,161.8,91.8,3
Chris Olave,NO,WR,253.5,159.2,94.2,3
Drake London,ATL,WR,253.1,161.3,91.8,3
George Pickens,DAL,WR,252.7,168.2,84.5,3
Garrett Wilson,NYJ,WR,252.5,153.8,98.8,3
Rashee Rice,KC,WR,249.4,159.7,89.8,3
Malik Nabers,NYG,WR,247.2,161.7,85.5,3
Nico Collins,HOU,WR,245.8,165.8,80.0,3
Zay Flowers,BAL,WR,245.1,160.1,85.0,3
Jaylen Waddle,DEN,WR,241.6,156.1,85.5,3
DeVonta Smith,PHI,WR,241.3,151.8,89.5,3
Emeka Egbuka,TB,WR,239.6,159.8,79.8,3
Ladd McConkey,LAC,WR,236.4,149.4,87.0,3
Tee Higgins,CIN,WR,233.7,158.4,75.2,3
Tetairoa McMillan,CAR,WR,233.3,156.1,77.2,3
Carnell Tate,TEN,WR,232.0,152.7,79.2,3
Luther Burden III,CHI,WR,228.3,147.3,81.0,3
DJ Moore,BUF,WR,226.0,151.2,74.8,3
